Structure_ID,Latitude,Longitude,HWB_Class,Year_Built,Design_Era,Sa_1s_g,Observed_DS,Obs_Repair_Category,RF_DS,RF_Repair_Category,RF_Repair_Action,RF_Priority,MLP_DS,MLP_Repair_Category,MLP_Repair_Action,MLP_Priority,RF_Correct,MLP_Correct
53 0740,34.14,-118.4683333,HWB5,1962,conventional,0.593,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1410,34.23666667,-118.3883333,HWB3,1963,conventional,0.4442,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1599,34.02333333,-118.4666667,HWB3,1963,conventional,0.3399,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2464,34.26833333,-118.5166667,HWB6,1980,seismic,1.044,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2205,34.27166667,-118.4883333,HWB5,1976,seismic,1.224,complete,Needs Replacement,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 2204,34.275,-118.4933333,HWB4,1976,seismic,1.113,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2343,34.265,-118.445,HWB4,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1439,34.22833333,-118.4716667,HWB3,1963,conventional,0.8073,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2347,34.26666667,-118.4383333,HWB4,1976,seismic,0.7417,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 2364,34.27166667,-118.43,HWB6,1976,seismic,0.7417,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,slight,Needs Repair,Schedule inspection,1,0,0
53 2350,34.26166667,-118.4383333,HWB4,1976,seismic,0.7417,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1441,34.21,-118.4716667,HWB3,1963,conventional,0.7109,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 2354,34.27166667,-118.43,HWB4,1976,seismic,0.7417,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1452,34.15333333,-118.3733333,HWB7,1962,conventional,0.4736,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1449,34.18833333,-118.4733333,HWB3,1963,conventional,0.667,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,1,0
53 0706,34.03833333,-118.4383333,HWB3,1959,conventional,0.443,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 2357,34.265,-118.4483333,HWB4,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 0704,34.035,-118.4366667,HWB1,1959,conventional,0.443,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2182,34.25666667,-118.5733333,HWB6,1971,conventional,0.9031,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2358,34.26666667,-118.4416667,HWB7,1976,seismic,0.8551,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 2342,34.265,-118.445,HWB4,1976,seismic,0.8551,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 2324,34.265,-118.4416667,HWB3,1976,seismic,0.8551,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,0,0
53 1548,34.29333333,-118.4683333,HWB8,1974,conventional,1.021,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1552,34.03166667,-118.41,HWB5,1964,conventional,0.3638,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,0,1
53 1557,34.03166667,-118.3883333,HWB5,1964,conventional,0.4242,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,1,0
53 1558,34.03333333,-118.3833333,HWB5,1964,conventional,0.4242,none,Safe,moderate,Needs Repair,Plan repair — 6 months,2,complete,Needs Replacement,Close bridge — replace,4,0,0
53 0387,34.38666667,-118.5683333,HWB5,1967,conventional,0.9994,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1638,34.03166667,-118.43,HWB5,1963,conventional,0.443,slight,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,slight,Needs Repair,Schedule inspection,1,0,1
53 1637,34.03166667,-118.4283333,HWB1,1964,conventional,0.443,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,moderate,Needs Repair,Plan repair — 6 months,2,1,1
53 1634,34.03333333,-118.4233333,HWB5,1964,conventional,0.3638,moderate,Needs Repair,moderate,Needs Repair,Plan repair — 6 months,2,none,Safe,No action needed,0,1,0
